order_id,product_id,category,price,quantity,order_date
1,P104,Grocery,1919,2,2025-10-28
2,P114,Clothing,371,1,2024-05-22
3,P103,Home,1197,2,2024-07-12
4,P100,Clothing,1988,1,2024-06-25
5,P114,Clothing,1390,3,2024-08-30
6,P113,Electronics,1989,5,2024-09-11
7,P113,Electronics,1746,4,2025-08-14
8,P103,Home,1582,1,2024-08-14
9,P103,Home,1701,3,2025-05-24
10,P109,Grocery,1408,5,2025-06-11
11,P102,Home,1156,1,2025-08-07
12,P113,Electronics,556,3,2024-11-20
13,P107,Grocery,919,2,2025-06-03
14,P106,Electronics,1501,5,2026-01-26
15,P107,Grocery,1857,4,2025-06-03
16,P106,Electronics,157,2,2025-02-18
17,P107,Grocery,1245,4,2025-06-19
18,P109,Grocery,1876,1,2024-11-25
19,P113,Electronics,1988,5,2024-05-25
20,P109,Grocery,604,2,2024-12-15
21,P106,Electronics,1266,5,2025-06-19
22,P109,Grocery,1293,1,2024-07-22
23,P100,Clothing,313,3,2025-01-19
24,P110,Grocery,1943,2,2024-10-28
25,P112,Clothing,1719,5,2024-10-19
26,P114,Clothing,750,5,2024-11-11
27,P113,Electronics,645,2,2024-11-28
28,P105,Grocery,566,4,2025-02-28
29,P113,Electronics,359,3,2026-04-06
30,P109,Grocery,1403,5,2025-05-28
31,P100,Clothing,1540,1,2024-08-20
32,P104,Grocery,1823,5,2024-11-11
33,P107,Grocery,612,2,2025-03-23
34,P105,Grocery,254,4,2025-04-04
35,P111,Home,637,4,2024-11-25
36,P114,Clothing,1383,1,2024-06-11
37,P106,Electronics,1798,4,2025-04-28
38,P113,Electronics,1274,2,2025-12-05
39,P112,Clothing,1708,3,2024-12-11
40,P104,Grocery,589,4,2025-07-28
41,P110,Grocery,690,4,2026-03-05
42,P110,Grocery,1402,1,2025-05-11
43,P105,Grocery,1000,5,2026-01-15
44,P102,Home,1293,3,2024-11-08
45,P112,Clothing,708,5,2025-01-24
46,P110,Grocery,1755,3,2024-08-25
47,P102,Home,637,4,2024-11-21
48,P112,Clothing,1911,2,2025-11-21
49,P103,Home,137,4,2024-05-17
50,P103,Home,836,2,2025-03-20
51,P105,Grocery,1648,5,2025-01-23
52,P113,Electronics,832,4,2025-06-23
53,P106,Electronics,1727,2,2025-10-10
54,P112,Clothing,880,5,2024-09-25
55,P112,Clothing,1229,3,2025-03-15
56,P109,Grocery,997,4,2024-06-19
57,P112,Clothing,1495,1,2025-12-06
58,P114,Clothing,639,4,2026-02-22
59,P113,Electronics,233,3,2024-10-23
60,P111,Home,1122,4,2026-01-09
61,P100,Clothing,658,1,2024-09-09
62,P105,Grocery,1869,1,2026-02-05
63,P108,Sports,1961,1,2025-12-13
64,P111,Home,1816,2,2025-08-22
65,P101,Electronics,237,4,2024-08-16
66,P109,Grocery,1703,2,2024-11-15
67,P109,Grocery,1440,2,2024-06-16
68,P109,Grocery,1180,4,2025-11-22
69,P112,Clothing,1361,5,2025-12-26
70,P109,Grocery,1552,4,2025-05-04
71,P108,Sports,1947,2,2024-10-30
72,P108,Sports,803,3,2025-05-26
73,P104,Grocery,668,4,2025-06-28
74,P104,Grocery,1072,2,2024-12-29
75,P100,Clothing,102,5,2025-01-28
76,P111,Home,513,5,2025-07-22
77,P106,Electronics,385,1,2025-11-13
78,P104,Grocery,1326,2,2025-05-05
79,P111,Home,1344,2,2025-01-17
80,P113,Electronics,1646,5,2025-03-19
81,P104,Grocery,1926,4,2024-08-26
82,P104,Grocery,504,1,2024-06-20
83,P107,Grocery,958,5,2025-01-06
84,P110,Grocery,524,4,2025-02-25
85,P107,Grocery,1365,5,2024-10-15
86,P104,Grocery,492,5,2024-05-16
87,P109,Grocery,1504,3,2025-06-06
88,P108,Sports,194,4,2026-04-10
89,P102,Home,659,5,2024-04-27
90,P112,Clothing,588,3,2024-06-12
91,P110,Grocery,1329,1,2025-07-03
92,P109,Grocery,502,5,2026-01-14
93,P100,Clothing,410,1,2025-01-07
94,P110,Grocery,1679,2,2025-03-30
95,P104,Grocery,742,2,2025-09-24
96,P114,Clothing,713,5,2024-05-05
97,P108,Sports,1575,3,2025-11-24
98,P114,Clothing,275,3,2026-03-24
99,P106,Electronics,1764,4,2024-05-11
100,P104,Grocery,235,4,2026-03-22
101,P101,Electronics,1755,5,2025-03-23
102,P107,Grocery,1714,4,2024-04-26
103,P108,Sports,974,3,2024-07-24
104,P108,Sports,579,3,2026-03-25
105,P109,Grocery,1618,4,2026-02-04
106,P107,Grocery,734,3,2025-06-19
107,P101,Electronics,1450,5,2026-01-15
108,P108,Sports,452,4,2026-04-07
109,P112,Clothing,525,2,2024-08-24
110,P113,Electronics,1383,1,2024-07-13
111,P114,Clothing,382,2,2025-05-14
112,P103,Home,501,4,2024-09-16
113,P110,Grocery,365,4,2025-08-03
114,P109,Grocery,724,5,2025-05-01
115,P107,Grocery,1340,1,2024-12-03
116,P105,Grocery,434,1,2025-12-05
117,P108,Sports,1037,5,2025-06-01
118,P106,Electronics,807,4,2025-07-27
119,P110,Grocery,1629,5,2024-05-30
120,P110,Grocery,1887,4,2025-08-21
121,P100,Clothing,367,4,2024-10-10
122,P108,Sports,618,1,2025-11-15
123,P112,Clothing,219,1,2024-09-27
124,P113,Electronics,1069,1,2026-03-31
125,P111,Home,1891,3,2025-09-06
126,P100,Clothing,1627,1,2025-05-29
127,P114,Clothing,544,3,2026-03-23
128,P113,Electronics,315,5,2025-04-18
129,P106,Electronics,420,1,2025-06-08
130,P114,Clothing,159,1,2025-06-08
131,P100,Clothing,1111,4,2026-01-23
132,P110,Grocery,1898,1,2025-12-01
133,P103,Home,434,5,2024-04-21
134,P107,Grocery,1855,1,2025-06-06
135,P103,Home,582,5,2024-09-01
136,P114,Clothing,803,4,2024-08-16
137,P102,Home,734,5,2024-07-12
138,P104,Grocery,1298,1,2025-04-04
139,P114,Clothing,1026,4,2026-02-18
140,P110,Grocery,860,1,2024-04-30
141,P106,Electronics,1235,4,2024-07-10
142,P107,Grocery,1323,4,2026-03-18
143,P103,Home,1428,4,2025-07-08
144,P103,Home,1459,3,2025-04-27
145,P108,Sports,1364,4,2025-04-07
146,P105,Grocery,431,1,2024-09-08
147,P103,Home,1833,3,2025-01-12
148,P111,Home,1190,2,2024-09-24
149,P108,Sports,122,3,2026-02-23
150,P105,Grocery,675,3,2024-08-26
151,P100,Clothing,545,5,2025-06-03
152,P101,Electronics,517,3,2025-11-29
153,P108,Sports,1829,3,2024-08-13
154,P102,Home,735,1,2025-11-07
155,P105,Grocery,928,3,2024-11-23
156,P106,Electronics,1488,4,2025-05-04
157,P104,Grocery,1224,5,2025-07-08
158,P108,Sports,173,4,2025-08-16
159,P101,Electronics,567,3,2025-08-31
160,P109,Grocery,1546,1,2024-11-19
161,P100,Clothing,1117,2,2026-02-01
162,P106,Electronics,104,3,2024-09-18
163,P105,Grocery,1052,3,2025-06-20
164,P112,Clothing,1708,2,2025-04-12
165,P102,Home,1546,2,2024-07-29
166,P104,Grocery,1830,4,2024-06-02
167,P112,Clothing,1460,3,2025-01-10
168,P102,Home,1658,5,2025-08-29
169,P104,Grocery,1285,3,2024-10-05
170,P114,Clothing,401,1,2026-02-17
171,P114,Clothing,337,1,2025-03-18
172,P111,Home,816,2,2025-05-08
173,P114,Clothing,1968,3,2026-02-13
174,P103,Home,1412,5,2024-06-20
175,P108,Sports,1218,2,2024-10-28
176,P109,Grocery,120,1,2026-03-07
177,P106,Electronics,1624,2,2025-02-10
178,P103,Home,879,3,2025-07-16
179,P103,Home,944,5,2025-08-18
180,P109,Grocery,1275,5,2024-10-24
181,P102,Home,1151,5,2026-04-15
182,P101,Electronics,1840,2,2024-12-18
183,P110,Grocery,840,5,2025-09-26
184,P101,Electronics,1124,2,2025-10-25
185,P108,Sports,574,1,2025-11-12
186,P109,Grocery,552,2,2026-04-17
187,P102,Home,1587,4,2025-08-10
188,P102,Home,1557,2,2025-01-27
189,P108,Sports,1208,2,2024-05-29
190,P110,Grocery,1498,2,2025-05-31
191,P106,Electronics,1428,5,2025-06-06
192,P111,Home,920,5,2024-11-01
193,P105,Grocery,986,1,2024-07-07
194,P109,Grocery,553,4,2024-12-13
195,P101,Electronics,507,4,2024-07-12
196,P102,Home,1456,3,2025-07-18
197,P111,Home,1805,1,2026-04-13
198,P107,Grocery,362,5,2025-05-16
199,P103,Home,531,4,2024-11-09
200,P108,Sports,1694,4,2024-06-11
201,P111,Home,1016,5,2026-02-23
202,P101,Electronics,1255,2,2024-09-20
203,P111,Home,1627,1,2026-03-19
204,P103,Home,226,4,2025-01-18
205,P112,Clothing,120,2,2026-01-13
206,P101,Electronics,527,4,2024-04-22
207,P109,Grocery,115,4,2026-03-11
208,P104,Grocery,743,4,2024-06-23
209,P112,Clothing,1169,5,2026-03-25
210,P107,Grocery,1743,2,2024-09-26
211,P105,Grocery,1348,5,2025-07-08
212,P100,Clothing,746,4,2025-09-24
213,P102,Home,1759,1,2025-01-28
214,P114,Clothing,1830,4,2025-09-12
215,P107,Grocery,278,1,2024-09-29
216,P103,Home,1568,3,2026-01-02
217,P108,Sports,1578,2,2025-06-09
218,P108,Sports,1262,3,2025-01-16
219,P113,Electronics,1643,1,2025-12-19
220,P100,Clothing,1599,4,2024-06-05
221,P111,Home,1103,2,2024-09-15
222,P100,Clothing,1879,5,2025-02-19
223,P109,Grocery,1481,2,2025-07-04
224,P102,Home,498,5,2025-07-14
225,P111,Home,561,2,2025-04-30
226,P104,Grocery,866,3,2025-05-01
227,P110,Grocery,1118,3,2025-04-20
228,P101,Electronics,953,5,2026-03-14
229,P105,Grocery,670,1,2025-10-03
230,P113,Electronics,1211,2,2025-08-05
231,P110,Grocery,1478,4,2025-05-05
232,P113,Electronics,143,4,2025-07-02
233,P107,Grocery,258,4,2024-11-16
234,P106,Electronics,1575,4,2024-11-23
235,P104,Grocery,222,4,2024-09-01
236,P100,Clothing,1592,3,2024-09-24
237,P110,Grocery,367,5,2024-11-18
238,P114,Clothing,1788,4,2025-11-10
239,P105,Grocery,1052,2,2025-05-23
240,P104,Grocery,854,2,2024-12-15
241,P110,Grocery,426,2,2024-07-10
242,P107,Grocery,1062,5,2025-01-17
243,P103,Home,1579,5,2025-05-27
244,P105,Grocery,499,1,2026-01-05
245,P103,Home,886,4,2024-04-30
246,P101,Electronics,416,3,2025-04-02
247,P106,Electronics,226,2,2024-10-16
248,P107,Grocery,1732,1,2025-05-21
249,P114,Clothing,1574,2,2025-04-16
250,P110,Grocery,324,1,2026-03-14
251,P108,Sports,1597,1,2025-09-08
252,P102,Home,310,2,2024-11-25
253,P103,Home,1257,4,2024-12-18
254,P102,Home,248,1,2026-01-24
255,P112,Clothing,560,5,2025-11-21
256,P108,Sports,696,2,2026-03-04
257,P113,Electronics,457,4,2025-03-16
258,P100,Clothing,1059,3,2025-08-10
259,P105,Grocery,910,5,2024-06-24
260,P108,Sports,201,3,2025-10-22
261,P104,Grocery,1402,3,2024-11-18
262,P109,Grocery,1364,3,2025-11-11
263,P112,Clothing,1370,2,2024-07-24
264,P109,Grocery,398,1,2024-10-22
265,P104,Grocery,1493,5,2025-02-24
266,P111,Home,964,1,2025-11-27
267,P110,Grocery,781,5,2024-10-23
268,P104,Grocery,1633,2,2024-05-02
269,P101,Electronics,1986,5,2025-04-18
270,P112,Clothing,255,4,2024-07-25
271,P101,Electronics,1293,1,2024-10-24
272,P106,Electronics,1795,4,2024-06-09
273,P104,Grocery,173,5,2024-06-02
274,P114,Clothing,1838,2,2024-12-17
275,P101,Electronics,1561,5,2024-11-03
276,P104,Grocery,1120,4,2025-07-12
277,P104,Grocery,1063,1,2025-06-12
278,P104,Grocery,717,5,2026-01-24
279,P108,Sports,1893,5,2025-03-12
280,P111,Home,761,2,2024-09-01
281,P105,Grocery,1109,5,2024-11-08
282,P103,Home,680,1,2025-01-23
283,P103,Home,963,1,2025-07-23
284,P107,Grocery,1729,5,2026-02-13
285,P105,Grocery,1953,2,2024-10-20
286,P108,Sports,453,3,2024-05-16
287,P100,Clothing,210,3,2024-08-12
288,P110,Grocery,1241,1,2024-10-30
289,P113,Electronics,1803,5,2025-10-07
290,P109,Grocery,785,5,2026-02-26
291,P108,Sports,1708,1,2024-10-03
292,P102,Home,334,1,2025-10-25
293,P114,Clothing,601,2,2025-11-26
294,P114,Clothing,447,2,2024-05-31
295,P107,Grocery,1515,5,2024-09-27
296,P106,Electronics,465,5,2024-07-05
297,P114,Clothing,571,3,2025-07-30
298,P113,Electronics,1977,2,2025-07-21
299,P108,Sports,828,5,2025-02-15
300,P114,Clothing,1514,4,2025-02-24
301,P113,Electronics,1987,4,2025-03-02
302,P113,Electronics,1014,3,2024-06-21
303,P110,Grocery,1036,3,2024-09-23
304,P102,Home,509,5,2026-03-09
305,P102,Home,622,2,2026-03-02
306,P101,Electronics,1985,3,2025-05-09
307,P102,Home,1167,5,2025-01-21
308,P102,Home,1289,3,2025-11-29
309,P109,Grocery,1364,2,2024-09-20
310,P107,Grocery,1111,1,2024-11-03
311,P111,Home,524,5,2025-06-18
312,P113,Electronics,418,2,2025-10-27
313,P113,Electronics,352,2,2024-09-19
314,P108,Sports,1811,1,2024-04-23
315,P113,Electronics,406,2,2024-11-04
316,P108,Sports,1888,1,2025-12-11
317,P109,Grocery,997,4,2024-07-12
318,P113,Electronics,676,2,2024-08-12
319,P105,Grocery,1212,5,2025-01-06
320,P103,Home,399,2,2025-11-24
321,P107,Grocery,1423,3,2025-01-21
322,P102,Home,1971,4,2026-02-04
323,P104,Grocery,1406,5,2024-10-03
324,P106,Electronics,1689,4,2024-09-11
325,P109,Grocery,1698,5,2025-09-13
326,P104,Grocery,1215,4,2024-10-18
327,P105,Grocery,380,1,2025-07-25
328,P114,Clothing,701,1,2025-12-25
329,P110,Grocery,1546,2,2025-05-07
330,P112,Clothing,445,3,2024-08-23
331,P102,Home,1414,4,2025-05-08
332,P110,Grocery,993,1,2024-12-31
333,P107,Grocery,881,5,2024-06-06
334,P100,Clothing,1813,2,2025-10-28
335,P102,Home,1112,3,2025-07-13
336,P110,Grocery,912,1,2024-04-29
337,P110,Grocery,1616,5,2025-05-23
338,P114,Clothing,1447,3,2026-04-04
339,P101,Electronics,1828,4,2025-03-31
340,P105,Grocery,102,1,2024-06-13
341,P109,Grocery,218,2,2025-02-26
342,P112,Clothing,1578,3,2024-08-26
343,P110,Grocery,983,1,2024-08-09
344,P100,Clothing,985,2,2024-12-17
345,P109,Grocery,431,5,2025-04-16
346,P101,Electronics,1472,4,2025-11-30
347,P105,Grocery,322,4,2025-10-09
348,P102,Home,581,4,2024-12-03
349,P106,Electronics,650,5,2024-06-12
350,P114,Clothing,1791,3,2024-12-10
351,P114,Clothing,972,1,2024-06-19
352,P114,Clothing,1487,2,2026-03-03
353,P106,Electronics,1630,4,2024-05-28
354,P111,Home,1409,4,2024-08-17
355,P114,Clothing,1728,1,2025-04-05
356,P103,Home,1660,5,2025-02-21
357,P113,Electronics,1972,1,2026-02-10
358,P106,Electronics,1276,3,2026-03-12
359,P112,Clothing,617,1,2025-05-16
360,P108,Sports,1737,5,2025-01-06
361,P105,Grocery,1965,3,2025-09-16
362,P110,Grocery,763,1,2025-12-23
363,P112,Clothing,1202,1,2026-02-07
364,P114,Clothing,919,4,2024-10-11
365,P101,Electronics,1838,1,2025-04-13
366,P102,Home,669,2,2026-02-22
367,P105,Grocery,1749,3,2024-05-05
368,P111,Home,1836,5,2024-08-30
369,P103,Home,628,4,2025-10-28
370,P102,Home,1018,2,2024-11-14
371,P108,Sports,667,3,2025-09-11
372,P102,Home,1080,1,2025-06-28
373,P112,Clothing,1826,5,2025-03-24
374,P104,Grocery,1113,3,2025-08-24
375,P113,Electronics,1340,3,2024-09-11
376,P110,Grocery,187,5,2024-11-07
377,P114,Clothing,741,5,2024-12-11
378,P104,Grocery,615,5,2026-02-25
379,P104,Grocery,273,4,2025-12-16
380,P110,Grocery,928,4,2025-01-13
381,P102,Home,255,2,2024-09-03
382,P104,Grocery,1314,3,2024-05-29
383,P113,Electronics,600,4,2024-08-30
384,P101,Electronics,1528,5,2025-06-07
385,P113,Electronics,962,1,2024-12-25
386,P112,Clothing,991,2,2024-11-12
387,P102,Home,1508,5,2024-05-05
388,P111,Home,1547,5,2025-03-30
389,P108,Sports,817,4,2024-12-10
390,P102,Home,1282,4,2024-06-17
391,P101,Electronics,573,1,2025-03-06
392,P100,Clothing,1959,2,2024-12-08
393,P104,Grocery,1793,5,2024-11-20
394,P107,Grocery,1282,1,2026-01-31
395,P106,Electronics,957,3,2025-01-13
396,P109,Grocery,1296,5,2025-09-13
397,P111,Home,1706,1,2025-03-14
398,P107,Grocery,1447,5,2025-12-07
399,P101,Electronics,1339,3,2025-03-17
400,P112,Clothing,1966,5,2025-06-11
401,P113,Electronics,570,5,2025-11-02
402,P105,Grocery,469,3,2025-04-03
403,P106,Electronics,1097,2,2025-11-29
404,P112,Clothing,332,5,2024-05-09
405,P102,Home,1261,5,2025-07-13
406,P111,Home,188,5,2024-08-20
407,P109,Grocery,251,2,2025-04-06
408,P114,Clothing,1624,1,2024-09-23
409,P110,Grocery,521,5,2024-04-29
410,P104,Grocery,1810,3,2025-08-18
411,P101,Electronics,1201,1,2025-01-30
